address_id,address_line1,address_line2,city,postcode,country
1,32-38 Leman Street,,Manchester, E1 8EW,United Kingdom
2,13-27 STATION ROAD ,Wood Green,Manchester,N22 6UW,United Kingdom
3,Leadenhall Street,,London,C3V 4QT,United Kingdom
4,25 Red Lion Square,,London,C1R 4RL,United Kingdom
5,Whyte & Brown,Unit G2 Kingly Court,London,W1B 5PW,United Kingdom
6,1 Pancras Square,King'S Cross,London,N1C 4AG,United Kingdom
7,860 Portsmouth Road,Esher,London,T10 9AJ,United Kingdom
8,Ferndale Road,,London,SW9 8AG,United Kingdom
9,Russell Square,,London,C1B 5BE,United Kingdom
10,Greenwich Peninsula,Magazine London,London,E10 0QE,United Kingdom
11,1 America Square,Crosswall,Birmingham,C3N 2LB,United Kingdom
12,836 Plough Place,,Birmingham,C4A 1DE,United Kingdom
13,6 O'Meara Street,,London,SE1 1TE,United Kingdom
14,Bank Street,,Manchester,E14 5NX,United Kingdom
15,3 Lloyd’s Avenue,City Of London,Birmingham,C3N 3DS,United Kingdom
16,Abchurch Yard,,Birmingham,C4N 7BA,United Kingdom
17,Stable Street,,Birmingham,N1C 4DR,United Kingdom
18,Old Queen Street,,Birmingham,W1H 9HP,United Kingdom
19,Junction Road,,Birmingham,N19 5LB,United Kingdom
20,1 Birdcage Walk,Westminster,London,W1H 9jj,United Kingdom
21,80 Vincent Square,Westminster,London,W1P 2PE,United Kingdom
22,Great Queen Street,61-65,London,C2B 5BZ,United Kingdom
23,King Street,17-19,London, W6 9HR,United Kingdom
24,Bank Street,,London,E14 5NX,United Kingdom
25,Hertsmere Road,,London,E14 4AE,United Kingdom
26,139 Wood Lane,,London,W12 7RZ,United Kingdom
27,416 The archives ,Unit 10 Highcross centre,Manchester,N15 4BE,United Kingdom
28,47 Whitcomb Street,,Manchester,C2H 7DH,United Kingdom
29,130 Wood Street,,Manchester,C2V 6DL,United Kingdom
30,Derbyshire House,St Chad'S St,Birmingham,C1H 8AG,United Kingdom
31,1 OLD STREET YARD,,London,C1Y 8AF,United Kingdom
