payment_id,trip_id,payment_method,payment_date,amount,payment_status
1,1,debit card,2024/01/21 18:07:24,26.29,approved
2,2,credit card,2023/09/11 09:43:24,11.63,approved
3,3,paypal,2024/03/01 18:07:24,18.90,approved
4,4,credit card,2023/05/25 07:19:24,0.00,cancelled
5,5,debit card,2023/03/19 19:48:12,12.75,pending
6,6,paypal,2023/10/26 21:14:36,34.03,pending
7,7,paypal,2024/03/13 15:57:48,18.45,approved
8,8,google pay,2023/11/08 08:45:48,0.00,cancelled
9,9,credit card,2023/12/20 15:00:12,41.53,approved
10,10,debit card,2023/03/26 14:31:24,5.89,approved
11,11,apple pay,2023/10/07 07:33:48,41.70,approved
12,12,debit card,2023/01/19 11:24:12,29.70,approved
13,13,google pay,2024/05/04 09:43:24,0.00,cancelled
14,14,google pay,2023/08/30 12:07:24,35.15,pending
15,15,google pay,2023/04/14 22:26:36,35.93,approved
16,16,paypal,2024/04/30 21:43:24,0.00,cancelled
17,17,apple pay,2023/03/22 14:02:36,0.00,cancelled
18,18,credit card,2023/06/05 15:43:24,38.55,pending
19,19,paypal,2023/09/04 08:31:24,9.68,pending
20,20,debit card,2023/02/10 21:00:12,36.13,approved
21,21,credit card,2023/08/26 09:57:48,17.45,approved
22,22,debit card,2023/06/06 19:05:00,28.55,approved
23,23,apple pay,2023/02/05 11:53:00,27.33,approved
24,24,google pay,2023/03/23 13:33:48,15.55,approved
25,25,paypal,2023/04/08 12:21:48,42.68,approved
26,26,google pay,2023/03/02 08:17:00,24.21,approved
27,27,paypal,2023/07/07 10:26:36,11.85,approved
28,28,debit card,2023/02/20 07:48:12,30.32,approved
29,29,apple pay,2024/03/23 13:05:00,18.87,approved
30,30,debit card,2024/05/21 09:14:36,22.59,pending
31,31,google pay,2023/07/15 17:53:00,23.63,approved
32,32,credit card,2023/01/18 18:21:48,25.72,approved
33,33,google pay,2024/03/18 18:36:12,0.00,cancelled
34,34,paypal,2023/09/12 16:41:00,11.35,approved
35,35,debit card,2023/10/19 22:26:36,37.74,approved
36,36,paypal,2023/06/22 11:38:36,25.08,approved
37,37,google pay,2023/08/05 17:38:36,20.79,approved
38,38,apple pay,2023/06/24 08:45:48,15.74,approved
39,39,paypal,2023/02/16 07:33:48,50.23,approved
40,40,apple pay,2024/05/18 07:48:12,27.92,approved
41,41,google pay,2023/04/07 20:31:24,11.65,approved
42,42,google pay,2023/10/08 11:53:00,21.46,approved
43,43,apple pay,2023/08/24 16:41:00,45.85,approved
44,44,paypal,2023/05/27 15:00:12,7.43,approved
45,45,credit card,2023/08/27 18:50:36,11.22,approved
46,46,paypal,2023/03/29 09:14:36,36.13,approved
47,47,apple pay,2023/11/24 08:31:24,34.33,pending
48,48,credit card,2023/02/25 13:33:48,10.33,approved
49,49,credit card,2023/03/01 19:19:24,12.47,pending
50,50,paypal,2023/02/03 13:05:00,30.28,approved
51,51,credit card,2023/08/27 15:00:12,20.72,pending
52,52,google pay,2023/04/13 21:14:36,22.98,approved
53,53,google pay,2024/04/29 17:38:36,24.34,approved
54,54,google pay,2023/03/25 18:36:12,33.08,approved
55,55,paypal,2023/04/02 07:33:48,31.74,pending
56,56,google pay,2024/02/18 09:14:36,23.80,pending
