trip_id,passenger_id,driver_id,vehicle_id,start_address_id,end_address_id,start_date,end_date,trip_status,pricing_id,miles_travelled
1,665,325,77,616,310,2024/01/21 18:14:24,2024/01/21 18:35:24,completed,3,10.51
2,2,123,263,379,196,2023/09/11 09:50:24,2023/09/11 10:08:24,completed,1,9.17
3,1414,331,185,170,29,2024/03/01 18:14:24,2024/03/01 18:28:24,completed,3,7.22
4,252,202,55,359,501,2023/05/25 07:26:24,2023/05/25 07:26:24,cancelled,3,0.00
5,512,149,4,601,392,2023/03/19 19:55:12,2023/03/19 20:07:12,in_progress,2,6.46
6,8,11,40,191,686,2023/10/26 21:21:36,2023/10/26 21:49:36,in_progress,3,14.23
7,329,334,230,256,90,2024/03/13 16:04:48,2024/03/13 16:23:48,completed,2,10.00
8,810,336,138,342,431,2023/11/08 08:52:48,2023/11/08 08:52:48,cancelled,2,0.00
9,847,273,103,6,283,2023/12/20 15:07:12,2023/12/20 15:42:12,completed,3,17.66
10,185,8,7,471,150,2023/03/26 14:38:24,2023/03/26 14:45:24,in_progress,1,3.99
11,862,36,164,178,384,2023/10/07 07:40:48,2023/10/07 08:15:48,in_progress,3,17.87
12,1385,353,276,455,204,2023/01/19 11:31:12,2023/01/19 12:04:12,completed,2,16.88
13,15,321,49,49,152,2024/05/04 09:50:24,2024/05/04 09:50:24,cancelled,3,0.00
14,579,157,96,304,317,2023/08/30 12:14:24,2023/08/30 12:43:24,in_progress,3,14.79
15,1449,174,59,659,40,2023/04/14 22:33:36,2023/04/14 23:14:36,completed,2,20.53
16,1208,111,231,298,73,2024/04/30 21:50:24,2024/04/30 21:50:24,cancelled,3,0.00
17,630,289,177,492,26,2023/03/22 14:09:36,2023/03/22 14:09:36,cancelled,3,0.00
18,1167,270,90,292,312,2023/06/05 15:50:24,2023/06/05 16:34:24,in_progress,2,22.29
19,37,24,282,553,347,2023/09/04 08:38:24,2023/09/04 08:52:24,in_progress,1,7.50
20,1246,156,36,555,514,2023/02/10 21:07:12,2023/02/10 21:48:12,completed,2,20.81
21,1014,166,171,116,408,2023/08/26 10:04:48,2023/08/26 10:22:48,completed,2,9.24
22,40,262,126,680,15,2023/06/06 19:12:00,2023/06/06 19:35:00,completed,3,11.63
23,41,299,204,154,7,2023/02/05 12:00:00,2023/02/05 12:30:00,completed,2,15.46
24,1442,212,97,105,618,2023/03/23 13:40:48,2023/03/23 13:51:48,in_progress,3,5.59
25,788,83,238,675,286,2023/04/08 12:28:48,2023/04/08 13:04:48,in_progress,3,18.25
26,1157,306,173,670,415,2023/03/02 08:24:00,2023/03/02 08:43:00,in_progress,3,9.61
27,271,339,88,57,159,2023/07/07 10:33:36,2023/07/07 10:44:36,in_progress,2,5.83
28,180,84,17,124,126,2023/02/20 07:55:12,2023/02/20 08:29:12,in_progress,2,17.11
29,1144,353,140,109,301,2024/03/23 13:12:00,2024/03/23 13:26:00,completed,3,7.18
30,777,111,254,237,253,2024/05/21 09:21:36,2024/05/21 09:59:36,in_progress,1,19.43
31,905,395,278,405,690,2023/07/15 18:00:00,2023/07/15 18:40:00,completed,1,20.37
32,54,227,151,620,200,2023/01/18 18:28:48,2023/01/18 18:56:48,completed,2,14.47
33,575,182,140,567,177,2024/03/18 18:43:12,2024/03/18 18:43:12,cancelled,3,0.00
34,57,370,114,232,675,2023/09/12 16:48:00,2023/09/12 16:55:00,completed,3,3.74
35,878,146,68,501,20,2023/10/19 22:33:36,2023/10/19 23:16:36,in_progress,2,21.79
36,59,87,179,369,260,2023/06/22 11:45:36,2023/06/22 12:28:36,in_progress,1,21.60
37,61,50,125,635,344,2023/08/05 17:45:36,2023/08/05 18:07:36,completed,2,11.38
38,94,258,233,383,445,2023/06/24 08:52:48,2023/06/24 09:08:48,in_progress,2,8.11
39,1163,8,147,657,631,2023/02/16 07:40:48,2023/02/16 08:23:48,completed,3,21.74
40,150,299,111,597,318,2024/05/18 07:55:12,2024/05/18 08:26:12,in_progress,2,15.65
41,845,195,238,460,270,2023/04/07 20:38:24,2023/04/07 20:56:24,in_progress,1,9.21
42,1015,125,3,448,688,2023/10/08 12:00:00,2023/10/08 12:23:00,completed,2,11.68
43,68,217,211,671,641,2023/08/24 16:48:00,2023/08/24 17:27:00,completed,3,19.66
44,70,294,25,259,515,2023/05/27 15:07:12,2023/05/27 15:17:12,completed,1,5.37
45,454,220,184,590,154,2023/08/27 18:57:36,2023/08/27 19:04:36,completed,3,3.58
46,882,202,61,473,356,2023/03/29 09:21:36,2023/03/29 10:02:36,completed,2,20.80
47,1392,146,123,128,680,2023/11/24 08:38:24,2023/11/24 09:17:24,in_progress,2,19.56
48,648,246,55,413,197,2023/02/25 13:40:48,2023/02/25 13:49:48,completed,2,4.97
49,1347,22,163,357,85,2023/03/01 19:26:24,2023/03/01 19:34:24,in_progress,3,4.29
50,77,368,187,179,424,2023/02/03 13:12:00,2023/02/03 13:46:00,completed,2,17.06
51,614,216,39,663,488,2023/08/27 15:07:12,2023/08/27 15:42:12,in_progress,1,17.53
52,898,357,185,618,248,2023/04/13 21:21:36,2023/04/13 22:00:36,completed,1,19.69
53,1294,399,83,305,451,2024/04/29 17:45:36,2024/04/29 18:04:36,completed,3,9.77
54,84,88,195,253,287,2023/03/25 18:43:12,2023/03/25 19:10:12,completed,3,13.89
55,85,62,34,65,672,2023/04/02 07:40:48,2023/04/02 08:06:48,in_progress,3,13.08
56,1080,82,113,308,363,2024/02/18 09:21:36,2024/02/18 09:47:36,in_progress,2,13.06
57,602,162,230,532,129,2023/05/25 22:48:00,2023/05/25 23:22:00,completed,1,17.50
58,1160,400,283,22,105,2023/01/19 17:02:24,2023/01/19 17:38:24,completed,1,18.35
59,1107,182,155,11,531,2024/04/08 17:16:48,2024/04/08 17:34:48,completed,1,9.40
60,189,84,165,101,236,2023/06/05 14:38:24,2023/06/05 14:58:24,completed,3,10.08
61,92,277,182,484,509,2023/01/08 12:28:48,2023/01/08 12:41:48,completed,3,6.73
62,93,373,239,147,322,2024/01/06 14:09:36,2024/01/06 14:33:36,completed,2,12.22
63,1305,124,137,288,563,2023/04/24 14:24:00,2023/04/24 14:36:00,completed,3,6.05
64,830,216,266,544,68,2024/05/19 13:40:48,2024/05/19 13:40:48,cancelled,1,0.00
65,659,255,187,3,610,2023/08/25 09:36:00,2023/08/25 10:02:00,completed,2,13.45
66,824,143,40,130,544,2024/03/13 07:26:24,2024/03/13 07:56:24,completed,3,15.15
67,503,318,167,648,101,2023/11/02 17:45:36,2023/11/02 18:20:36,in_progress,3,17.67
68,786,337,260,687,294,2023/01/10 22:19:12,2023/01/10 22:34:12,in_progress,1,7.76
69,101,125,143,207,624,2023/10/14 06:57:36,2023/10/14 07:23:36,in_progress,2,13.08
70,102,284,204,295,390,2023/10/14 22:04:48,2023/10/14 22:45:48,in_progress,3,20.86
71,51,319,176,402,539,2023/06/12 16:48:00,2023/06/12 17:25:00,in_progress,3,18.59
72,1170,360,262,82,496,2023/08/04 10:48:00,2023/08/04 11:28:00,completed,2,20.35
73,1434,55,252,208,469,2023/07/31 17:45:36,2023/07/31 18:21:36,completed,2,18.35
74,1282,299,200,276,35,2024/02/27 19:40:48,2024/02/27 20:01:48,completed,3,10.97
75,258,5,199,89,222,2023/05/09 22:19:12,2023/05/09 22:54:12,completed,3,17.67
76,109,96,196,307,372,2023/06/01 07:12:00,2023/06/01 07:39:00,in_progress,1,13.86
77,717,5,77,5,586,2023/01/14 08:24:00,2023/01/14 09:07:00,completed,2,21.55
78,111,300,19,234,546,2024/01/20 16:04:48,2024/01/20 16:45:48,in_progress,3,20.79
79,665,184,62,59,454,2024/02/28 21:07:12,2024/02/28 21:24:12,in_progress,3,8.53
80,1416,355,281,646,682,2023/06/21 20:24:00,2023/06/21 20:53:00,completed,3,14.75
81,114,25,250,341,459,2024/01/07 19:55:12,2024/01/07 20:05:12,completed,3,5.46
82,436,57,227,7,389,2023/03/07 11:02:24,2023/03/07 11:22:24,in_progress,1,10.26
83,117,111,127,619,32,2024/02/11 09:07:12,2024/02/11 09:33:12,completed,2,13.29
84,369,18,58,39,670,2024/03/17 17:31:12,2024/03/17 18:11:12,in_progress,3,20.21
85,133,200,204,438,439,2023/08/19 10:33:36,2023/08/19 11:11:36,in_progress,2,19.21
86,838,124,243,242,11,2023/03/24 13:55:12,2023/03/24 14:39:12,in_progress,2,22.37
87,411,315,252,281,416,2023/10/25 10:04:48,2023/10/25 10:13:48,completed,3,4.74
88,90,219,199,174,417,2024/03/13 19:55:12,2024/03/13 20:03:12,in_progress,3,4.45
89,138,216,240,447,234,2024/04/06 11:02:24,2024/04/06 11:10:24,completed,3,4.19
90,921,4,139,50,523,2023/09/05 15:50:24,2023/09/05 16:04:24,completed,1,7.07
91,1233,2,122,384,606,2023/06/16 21:50:24,2023/06/16 22:23:24,completed,3,16.90
92,142,220,49,480,170,2024/03/22 21:50:24,2024/03/22 21:59:24,completed,2,4.87
93,417,9,115,475,584,2023/04/19 09:21:36,2023/04/19 09:34:36,completed,2,6.74
94,1439,29,251,526,380,2023/04/21 11:31:12,2023/04/21 11:53:12,in_progress,1,11.01
95,297,240,7,250,136,2024/01/11 21:50:24,2024/01/11 22:01:24,completed,3,5.91
96,147,357,219,125,499,2023/09/15 14:52:48,2023/09/15 15:14:48,in_progress,3,11.12
97,346,114,77,539,484,2023/08/13 21:36:00,2023/08/13 21:51:00,completed,1,7.63
98,150,76,179,266,24,2023/10/10 16:48:00,2023/10/10 17:28:00,completed,1,20.08
99,252,193,145,226,643,2023/08/04 11:16:48,2023/08/04 11:55:48,in_progress,3,19.95
100,205,111,154,560,458,2023/09/24 11:45:36,2023/09/24 12:23:36,completed,3,19.43
101,1082,158,121,30,565,2023/04/06 14:24:00,2023/04/06 15:05:00,in_progress,2,20.85
102,155,354,124,210,327,2024/05/01 08:24:00,2024/05/01 08:44:00,completed,3,10.10
103,156,66,150,577,636,2023/09/28 19:55:12,2023/09/28 20:17:12,completed,3,11.05
104,109,349,268,699,371,2024/04/09 22:33:36,2024/04/09 23:02:36,completed,2,14.58
105,908,244,1,269,51,2023/01/24 16:33:36,2023/01/24 16:33:36,cancelled,2,0.00
106,1440,347,161,290,647,2023/11/24 11:31:12,2023/11/24 11:31:12,cancelled,2,0.00
107,734,29,244,676,542,2024/01/21 12:14:24,2024/01/21 12:31:24,completed,2,8.82
108,911,189,251,612,71,2023/04/03 15:21:36,2023/04/03 15:40:36,completed,1,9.74
109,162,204,64,129,280,2024/01/27 18:57:36,2024/01/27 19:06:36,completed,2,4.82
110,1097,107,248,513,622,2023/11/16 16:48:00,2023/11/16 17:07:00,in_progress,1,9.55
111,98,379,115,656,560,2023/07/19 07:40:48,2023/07/19 07:51:48,completed,2,5.56
112,1220,225,1,47,205,2023/03/20 07:55:12,2023/03/20 08:08:12,in_progress,2,6.86
113,1036,57,41,306,461,2023/04/27 20:09:36,2023/04/27 20:37:36,in_progress,2,14.01
114,655,236,173,345,31,2023/06/14 18:00:00,2023/06/14 18:22:00,completed,3,11.45
115,915,317,88,247,646,2023/04/03 13:40:48,2023/04/03 13:56:48,in_progress,1,8.38
116,170,139,98,90,425,2024/04/21 10:48:00,2024/04/21 11:10:00,completed,2,11.44
117,1443,94,88,244,140,2023/01/10 14:24:00,2023/01/10 15:06:00,completed,3,21.02
118,892,223,251,403,229,2024/04/25 21:36:00,2024/04/25 21:51:00,in_progress,1,7.60
119,1144,25,141,79,125,2023/08/22 10:19:12,2023/08/22 10:59:12,in_progress,1,20.38
120,176,191,71,673,383,2023/01/13 16:48:00,2023/01/13 17:24:00,in_progress,3,18.46
121,1091,321,137,70,520,2024/03/18 18:28:48,2024/03/18 18:42:48,completed,1,7.31
122,712,148,99,37,407,2023/06/16 08:09:36,2023/06/16 08:24:36,completed,3,7.87
123,389,208,151,95,171,2023/11/09 19:55:12,2023/11/09 20:26:12,in_progress,2,15.61
124,813,87,175,502,489,2023/12/21 10:19:12,2023/12/21 10:32:12,in_progress,3,6.65
125,181,359,167,365,224,2023/06/01 13:12:00,2023/06/01 13:29:00,in_progress,1,8.60
126,1235,368,257,38,444,2023/11/19 14:24:00,2023/11/19 14:44:00,completed,1,10.39
127,1167,1,224,12,521,2023/05/20 08:52:48,2023/05/20 09:21:48,in_progress,2,14.90
128,148,348,65,159,331,2024/02/24 06:57:36,2024/02/24 07:09:36,in_progress,3,6.16
129,188,215,69,662,550,2023/11/26 18:14:24,2023/11/26 18:43:24,completed,2,14.51
